epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1166,1.72594,2.90317,1.45604,0.01075,0.55375,0.14693,0.08131,1.1756,3.19427,1.04734,0.000465256,0.000465256,0.000465256
2,21.0856,1.33265,1.64518,1.09438,0.3896,0.11014,0.26372,0.16259,1.29273,2.47706,1.16658,0.000848372,0.000848372,0.000848372
3,30.1461,1.29952,1.41961,1.11144,0.89382,0.43663,0.532,0.31013,1.22911,1.35776,1.13033,0.00113717,0.00113717,0.00113717
4,39.5129,1.26378,1.29405,1.07436,0.79993,0.52148,0.51857,0.3331,1.15028,1.11017,1.0803,0.00100459,0.00100459,0.00100459
5,48.8104,1.21935,1.18947,1.051,0.51706,0.50135,0.55013,0.3527,1.13824,1.12918,1.08222,0.000863116,0.000863116,0.000863116
6,57.9841,1.16071,1.06589,1.02775,0.5673,0.65679,0.66079,0.4544,1.07286,0.82277,1.03974,0.000721645,0.000721645,0.000721645
7,67.1133,1.15437,1.01023,1.02443,0.66174,0.6452,0.71444,0.50699,1.03355,0.83319,1.02826,0.000580174,0.000580174,0.000580174
8,76.0965,1.1115,0.93064,0.99892,0.90812,0.59778,0.67553,0.48252,1.02611,0.72004,1.01891,0.000438703,0.000438703,0.000438703
9,85.4891,1.0971,0.88368,1.00032,0.79985,0.68188,0.73576,0.51636,0.976,0.66709,0.98751,0.000297232,0.000297232,0.000297232
10,94.5607,1.07134,0.83784,0.97929,0.88491,0.68548,0.74324,0.50783,0.99012,0.65252,0.99404,0.000155761,0.000155761,0.000155761
