epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.06828,2.0009,4.28795,2.06999,0.81269,0.25806,0.29108,0.15867,1.25285,5.40987,1.41687,0.00018577,0.00018577,0.00018577
2,6.99645,1.19004,1.93347,1.29449,0.49795,0.33641,0.39392,0.26553,0.99439,4.10558,1.11195,0.00038201,0.00038201,0.00038201
3,9.02217,1.0725,1.27597,1.16249,0.61145,0.51382,0.56333,0.36605,1.1007,1.91615,1.18696,0.000574289,0.000574289,0.000574289
4,10.9159,1.04457,1.2089,1.113,0.49572,0.55492,0.47962,0.31337,1.23136,3.75872,1.4191,0.000762607,0.000762607,0.000762607
5,12.7456,1.05872,1.05979,1.12608,0.54889,0.37847,0.41656,0.25654,1.29812,3.75469,1.53127,0.000946964,0.000946964,0.000946964
6,14.6034,1.05877,0.97971,1.10521,0.93416,0.56304,0.63535,0.43454,1.13563,1.39064,1.20021,0.00112736,0.00112736,0.00112736
7,16.4464,1.08548,0.89246,1.10204,0.64295,0.58663,0.56647,0.39409,1.08093,1.51183,1.15627,0.00130379,0.00130379,0.00130379
8,18.2126,0.9978,0.88636,1.08605,0.87519,0.5438,0.60303,0.41037,1.01921,1.3066,1.10247,0.00132997,0.00132997,0.00132997
9,19.9758,1.05651,0.91312,1.0867,0.57299,0.50485,0.54401,0.37414,1.05221,1.15998,1.12853,0.00131582,0.00131582,0.00131582
10,21.6828,0.90731,0.86543,1.05116,0.7448,0.67473,0.69627,0.42557,1.3215,1.35611,1.30864,0.00130168,0.00130168,0.00130168
11,23.5037,0.95768,0.7239,1.05157,0.78702,0.43827,0.51302,0.32826,1.3799,1.20058,1.29275,0.00128753,0.00128753,0.00128753
12,25.2549,0.93479,0.70279,1.04173,0.88446,0.67819,0.71788,0.48726,1.19019,0.84292,1.19513,0.00127338,0.00127338,0.00127338
13,27.0686,0.99616,0.70352,1.04693,0.85464,0.63742,0.67271,0.43741,1.07361,0.77647,1.18208,0.00125923,0.00125923,0.00125923
14,28.8308,0.97161,0.71457,1.05208,0.78409,0.49564,0.5864,0.37932,1.1361,1.20902,1.17302,0.00124509,0.00124509,0.00124509
15,30.5531,0.95995,0.7123,1.05559,0.90816,0.62805,0.7251,0.48848,0.97835,0.64499,1.09678,0.00123094,0.00123094,0.00123094
16,32.3314,0.96481,0.74235,1.04593,0.88791,0.6364,0.70713,0.47427,1.03228,0.80069,1.17881,0.00121679,0.00121679,0.00121679
17,34.0776,0.87039,0.62191,1.02069,0.80894,0.7765,0.79384,0.52189,0.97073,0.73864,1.15596,0.00120265,0.00120265,0.00120265
18,35.9458,0.91099,0.71386,1.03556,0.77311,0.69259,0.74254,0.49412,1.13448,0.80237,1.21369,0.0011885,0.0011885,0.0011885
19,37.7233,0.90228,0.63903,1.02322,0.88755,0.58266,0.72533,0.49806,0.87929,0.7661,1.04028,0.00117435,0.00117435,0.00117435
20,39.4079,0.91301,0.66726,1.04134,0.82376,0.70491,0.75875,0.50915,0.94873,0.70143,1.16372,0.00116021,0.00116021,0.00116021
21,41.1667,0.822,0.65261,1.01022,0.7776,0.61072,0.73685,0.53935,0.90169,0.71019,1.10043,0.00114606,0.00114606,0.00114606
22,43.089,0.77902,0.59578,0.92616,0.94932,0.66722,0.74859,0.5419,0.8398,0.60255,1.05753,0.00113191,0.00113191,0.00113191
23,44.9242,0.80616,0.59786,0.97339,0.97097,0.6598,0.72276,0.51133,0.89408,0.66744,1.09809,0.00111776,0.00111776,0.00111776
24,46.6411,0.82015,0.59378,0.9686,0.90552,0.66817,0.72703,0.52047,0.92665,0.66579,1.09198,0.00110362,0.00110362,0.00110362
25,48.3923,0.81096,0.60018,0.99376,0.97036,0.72203,0.79424,0.57724,0.88058,0.58355,1.04119,0.00108947,0.00108947,0.00108947
26,50.2411,0.74827,0.55234,0.97999,0.90222,0.72878,0.77885,0.53839,0.90949,0.61944,1.08974,0.00107532,0.00107532,0.00107532
27,52.0452,0.84241,0.58526,0.99344,0.94874,0.68545,0.77122,0.51876,0.86813,0.60465,1.03731,0.00106118,0.00106118,0.00106118
28,53.8181,0.80362,0.56343,0.98934,0.99309,0.69841,0.7725,0.56396,0.8755,0.59943,1.0371,0.00104703,0.00104703,0.00104703
29,55.5317,0.76077,0.51342,0.96068,0.92784,0.73541,0.80181,0.55753,0.85317,0.57084,1.05125,0.00103288,0.00103288,0.00103288
30,57.2943,0.75153,0.52368,0.95376,0.82159,0.79024,0.78177,0.56946,0.88134,0.58327,1.07049,0.00101873,0.00101873,0.00101873
31,59.0201,0.79228,0.5467,0.99929,0.89216,0.78424,0.79985,0.58163,0.87407,0.52988,1.0727,0.00100459,0.00100459,0.00100459
32,60.8972,0.81056,0.54044,0.94207,0.83459,0.73124,0.75451,0.54978,0.8463,0.52662,1.03885,0.00099044,0.00099044,0.00099044
33,62.6065,0.75429,0.50253,0.95849,0.88892,0.68894,0.73206,0.52997,0.90014,0.55252,1.074,0.000976293,0.000976293,0.000976293
34,64.3579,0.70971,0.47937,0.93002,0.82899,0.70074,0.71978,0.52488,0.89284,0.60522,1.08639,0.000962146,0.000962146,0.000962146
35,66.1061,0.71822,0.48391,0.95708,0.81346,0.70507,0.69872,0.50444,0.84413,0.60935,1.02811,0.000947999,0.000947999,0.000947999
36,67.875,0.73547,0.4865,0.93807,0.88444,0.73711,0.7828,0.52837,0.93239,0.54406,1.04547,0.000933851,0.000933851,0.000933851
37,69.6844,0.76205,0.50083,0.97855,0.86521,0.79263,0.82442,0.57108,0.89774,0.49707,1.04795,0.000919704,0.000919704,0.000919704
38,71.4319,0.79563,0.52302,1.00643,0.97524,0.68725,0.77895,0.56248,0.90703,0.51537,1.10518,0.000905557,0.000905557,0.000905557
39,73.131,0.76805,0.51391,1.00862,0.98726,0.69332,0.78853,0.55897,0.82434,0.50901,1.01453,0.00089141,0.00089141,0.00089141
40,74.9542,0.70881,0.495,0.95215,0.84815,0.70507,0.76629,0.54476,0.88289,0.5159,1.05386,0.000877263,0.000877263,0.000877263
41,76.6628,0.71119,0.49051,0.9423,0.88579,0.69511,0.77437,0.56876,0.85151,0.50663,1.03785,0.000863116,0.000863116,0.000863116
42,78.3843,0.69342,0.42578,0.94929,0.90823,0.69669,0.78764,0.56571,0.93216,0.52074,1.10026,0.000848969,0.000848969,0.000848969
43,80.1772,0.69786,0.47023,0.9292,0.84818,0.64794,0.75382,0.53555,0.85108,0.52615,1.05227,0.000834822,0.000834822,0.000834822
44,81.9045,0.67864,0.45855,0.92643,0.84589,0.74852,0.78498,0.55925,0.85058,0.47523,1.0474,0.000820675,0.000820675,0.000820675
45,83.6502,0.73069,0.47141,0.93919,0.88537,0.69071,0.77887,0.54124,0.87346,0.51348,1.06904,0.000806528,0.000806528,0.000806528
