epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99365,2.38598,5.16206,2.3914,0.01443,0.02688,0.00409,0.00081,2.29807,5.18404,2.83517,0.00013,0.00013,0.08713
2,7.3364,2.21566,4.0925,2.22028,0.17381,0.05914,0.04048,0.01289,2.15954,3.91695,2.81945,0.000266659,0.000266659,0.0732667
3,9.84427,1.99308,3.33303,2.09396,0.18893,0.2884,0.18238,0.07184,1.89571,2.94233,2.39359,0.000399853,0.000399853,0.0593999
4,12.2048,1.68236,2.53752,1.79315,0.36458,0.38208,0.31657,0.15912,1.32592,2.34173,1.65541,0.000529581,0.000529581,0.0455296
5,14.5781,1.41569,1.90597,1.52418,0.46796,0.46544,0.47256,0.31519,1.01866,1.75814,1.39976,0.000655845,0.000655845,0.0316558
6,16.9369,1.23648,1.40795,1.37597,0.76486,0.48085,0.58246,0.40324,0.94438,1.20325,1.30891,0.000778644,0.000778644,0.0177786
7,19.2959,1.17154,1.26872,1.31047,0.75828,0.5192,0.6228,0.44102,0.86483,1.00605,1.22792,0.000897978,0.000897978,0.00389798
8,21.6595,0.99894,0.95865,1.217,0.8566,0.61108,0.71836,0.4947,0.82154,0.82873,1.16795,0.000913375,0.000913375,0.000913375
9,24.1975,1.06299,0.9125,1.27804,0.75683,0.73817,0.74967,0.52529,0.79809,0.70248,1.13629,0.000901,0.000901,0.000901
10,26.4792,0.94467,0.7333,1.14396,0.84824,0.78155,0.81609,0.57706,0.79521,0.61487,1.15388,0.000888625,0.000888625,0.000888625
11,28.8006,0.89535,0.68908,1.14482,0.86675,0.7923,0.8034,0.56399,0.79577,0.57473,1.13971,0.00087625,0.00087625,0.00087625
12,31.0293,0.89797,0.66212,1.11423,0.88724,0.81301,0.83052,0.58969,0.74794,0.50333,1.09246,0.000863875,0.000863875,0.000863875
13,33.2867,0.88555,0.57621,1.10973,0.8758,0.83413,0.84657,0.58247,0.74618,0.50549,1.09432,0.0008515,0.0008515,0.0008515
14,35.492,0.90695,0.64746,1.09986,0.90672,0.8303,0.85246,0.57707,0.78638,0.45945,1.14049,0.000839125,0.000839125,0.000839125
15,37.6942,0.90224,0.59604,1.04285,0.87719,0.81626,0.84978,0.58345,0.81986,0.45177,1.14607,0.00082675,0.00082675,0.00082675
16,39.9233,0.84964,0.5685,1.06774,0.87629,0.83181,0.87009,0.61303,0.82239,0.43048,1.15602,0.000814375,0.000814375,0.000814375
17,42.2086,0.80605,0.52038,1.03209,0.87355,0.82529,0.86772,0.61497,0.80187,0.43232,1.12923,0.000802,0.000802,0.000802
18,44.5075,0.83223,0.61383,1.04828,0.91986,0.76715,0.85334,0.59927,0.78797,0.4264,1.13795,0.000789625,0.000789625,0.000789625
19,46.7211,0.78336,0.50768,1.04819,0.88758,0.78494,0.85208,0.59719,0.77191,0.4182,1.09945,0.00077725,0.00077725,0.00077725
20,48.9442,0.7856,0.51157,1.03369,0.86509,0.82547,0.86366,0.60196,0.76867,0.41491,1.08811,0.000764875,0.000764875,0.000764875
21,51.1301,0.82075,0.48181,1.02158,0.87634,0.82434,0.85848,0.60469,0.77146,0.41924,1.09452,0.0007525,0.0007525,0.0007525
22,53.344,0.82824,0.5578,1.05869,0.91569,0.80338,0.84803,0.60022,0.77925,0.40673,1.10828,0.000740125,0.000740125,0.000740125
23,55.642,0.75064,0.46084,1.01564,0.91577,0.78446,0.85779,0.60742,0.78592,0.39666,1.10594,0.00072775,0.00072775,0.00072775
24,57.915,0.76725,0.494,1.05303,0.87488,0.83664,0.86571,0.60053,0.77164,0.39317,1.09307,0.000715375,0.000715375,0.000715375
25,60.1153,0.75091,0.45641,1.04464,0.87019,0.83718,0.86417,0.61609,0.76298,0.39367,1.08451,0.000703,0.000703,0.000703
26,62.406,0.7811,0.47575,0.98846,0.87715,0.83612,0.86632,0.61179,0.76768,0.39418,1.08731,0.000690625,0.000690625,0.000690625
27,64.7028,0.77602,0.4554,1.00518,0.93937,0.7775,0.86743,0.6104,0.78934,0.4049,1.1065,0.00067825,0.00067825,0.00067825
28,67.0502,0.77272,0.48611,1.05626,0.9101,0.83024,0.86865,0.60871,0.77914,0.37783,1.10221,0.000665875,0.000665875,0.000665875
29,69.265,0.77578,0.46403,1.06385,0.85445,0.8338,0.86673,0.60107,0.77701,0.37413,1.10707,0.0006535,0.0006535,0.0006535
30,71.5342,0.7068,0.42667,0.98425,0.86944,0.83799,0.86619,0.60803,0.775,0.36663,1.0965,0.000641125,0.000641125,0.000641125
31,73.86,0.73197,0.42514,0.97494,0.86969,0.84447,0.85919,0.6097,0.78054,0.36632,1.10104,0.00062875,0.00062875,0.00062875
32,76.3074,0.7233,0.43304,0.98206,0.91609,0.83516,0.85151,0.6012,0.82516,0.37148,1.16264,0.000616375,0.000616375,0.000616375
33,78.5042,0.69441,0.44898,0.97229,0.91006,0.84261,0.85397,0.60455,0.79978,0.37328,1.14507,0.000604,0.000604,0.000604
34,80.692,0.63886,0.37795,0.95152,0.90909,0.84296,0.85784,0.60716,0.80212,0.37624,1.14581,0.000591625,0.000591625,0.000591625
35,82.8509,0.68298,0.38585,0.99941,0.91665,0.84116,0.84371,0.60605,0.79154,0.37289,1.13678,0.00057925,0.00057925,0.00057925
36,85.0483,0.84484,0.47536,1.13711,0.91419,0.8411,0.85968,0.60652,0.78415,0.36744,1.13851,0.000566875,0.000566875,0.000566875
37,87.2494,0.7004,0.44602,0.98177,0.91016,0.84447,0.85569,0.61071,0.78663,0.36287,1.14431,0.0005545,0.0005545,0.0005545
38,89.4684,0.71087,0.43494,0.96935,0.9088,0.83909,0.86094,0.61178,0.80348,0.36641,1.17152,0.000542125,0.000542125,0.000542125
39,91.6273,0.64681,0.50055,0.89468,0.90347,0.82799,0.86083,0.60382,0.79488,0.36667,1.16914,0.00052975,0.00052975,0.00052975
40,93.8304,0.60023,0.37138,0.95427,0.9143,0.83655,0.85394,0.60862,0.79392,0.37155,1.16519,0.000517375,0.000517375,0.000517375
41,95.9725,0.68965,0.4524,1.02899,0.90994,0.82995,0.8563,0.60772,0.78504,0.37014,1.14687,0.000505,0.000505,0.000505
42,98.2058,0.65929,0.3873,0.96372,0.90542,0.83981,0.8587,0.60352,0.79063,0.35858,1.17068,0.000492625,0.000492625,0.000492625
43,100.586,0.67831,0.40032,0.9561,0.90518,0.83438,0.86174,0.59968,0.78555,0.37281,1.15888,0.00048025,0.00048025,0.00048025
44,102.811,0.67145,0.46324,1.01258,0.91056,0.83328,0.86916,0.60433,0.78987,0.37125,1.15554,0.000467875,0.000467875,0.000467875
45,105.026,0.64816,0.37871,0.94831,0.8602,0.83984,0.8662,0.61224,0.79951,0.36963,1.15359,0.0004555,0.0004555,0.0004555
