epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.86146,2.33925,5.07882,2.3583,0.19105,0.06989,0.05141,0.01824,2.30081,4.56996,2.34983,3e-05,3e-05,0.09403
2,9.88565,1.51927,2.45245,1.58813,0.28667,0.12519,0.09042,0.0512,1.58627,4.20507,1.68102,6.41956e-05,6.41956e-05,0.0870642
3,13.508,1.24976,1.19844,1.29799,0.72308,0.24942,0.33195,0.23112,1.44165,2.96544,1.46581,9.7525e-05,9.7525e-05,0.0800975
4,16.92,1.05382,0.85835,1.17213,0.75919,0.36914,0.50194,0.36093,1.19874,1.79141,1.27777,0.000129988,0.000129988,0.07313
5,20.5968,1.00125,0.78178,1.1474,0.84059,0.39401,0.45675,0.30107,1.25565,1.68624,1.36916,0.000161585,0.000161585,0.0661616
6,23.9424,1.00257,0.75531,1.14373,0.90423,0.49418,0.57724,0.34011,1.31427,1.32084,1.35541,0.000192316,0.000192316,0.0591923
7,27.3766,0.99856,0.71917,1.09897,0.84205,0.5818,0.71597,0.40559,1.41984,1.00022,1.45169,0.00022218,0.00022218,0.0522222
8,30.0582,0.94259,0.65862,1.10523,0.85182,0.62769,0.68863,0.49583,1.13145,1.06621,1.2291,0.000251178,0.000251178,0.0452512
9,32.4796,0.88954,0.64437,1.08153,0.98595,0.64652,0.7117,0.5209,1.13504,0.86572,1.24896,0.00027931,0.00027931,0.0382793
10,34.7613,0.90683,0.63287,1.08401,0.88901,0.66976,0.74181,0.51634,1.13597,1.0472,1.28148,0.000306576,0.000306576,0.0313066
11,36.891,0.88243,0.60693,1.07214,0.92124,0.5046,0.58341,0.43823,1.12287,1.86379,1.24958,0.000332975,0.000332975,0.024333
12,39.0365,0.87205,0.58144,1.04975,0.83232,0.61543,0.7201,0.5358,1.09664,0.85418,1.18325,0.000358508,0.000358508,0.0173585
13,41.3008,0.83033,0.53609,1.02888,0.96641,0.7799,0.80637,0.58512,1.068,0.69035,1.18307,0.000383175,0.000383175,0.0103832
14,43.6453,0.86682,0.57045,1.04473,0.89075,0.7765,0.81432,0.58318,1.09523,0.65568,1.21938,0.000406976,0.000406976,0.00340698
15,45.8,0.82749,0.57672,1.04842,0.95677,0.75699,0.82266,0.60307,1.06177,0.64805,1.1884,0.000413375,0.000413375,0.000413375
16,48.0965,0.80417,0.54699,1.00607,0.90045,0.75333,0.80804,0.5805,1.08926,0.69065,1.22298,0.000407187,0.000407187,0.000407187
17,50.2359,0.79543,0.56801,1.03711,0.8767,0.74804,0.80106,0.56678,1.05984,0.72766,1.19956,0.000401,0.000401,0.000401
18,52.5033,0.77471,0.50585,1.02229,0.72201,0.79608,0.73054,0.53595,1.05218,0.6797,1.16876,0.000394813,0.000394813,0.000394813
19,54.6525,0.80694,0.55939,1.02554,0.85881,0.74808,0.77416,0.56818,1.03066,0.66665,1.18486,0.000388625,0.000388625,0.000388625
20,56.8171,0.81188,0.50973,1.02583,0.82186,0.73886,0.78687,0.54531,1.06882,0.68783,1.18173,0.000382438,0.000382438,0.000382438
21,58.9562,0.74242,0.52137,1.01386,0.92016,0.65668,0.775,0.55283,1.04483,0.71825,1.18612,0.00037625,0.00037625,0.00037625
22,61.1538,0.72233,0.47811,1.00109,0.81656,0.80146,0.81422,0.56305,1.0208,0.66852,1.1743,0.000370063,0.000370063,0.000370063
23,63.2875,0.71736,0.47542,0.98664,0.92695,0.75868,0.80884,0.57533,1.02549,0.63118,1.17643,0.000363875,0.000363875,0.000363875
24,65.4504,0.73916,0.46755,1.00421,0.86197,0.72089,0.8038,0.57065,0.999,0.66973,1.16777,0.000357687,0.000357687,0.000357687
25,67.5837,0.70737,0.48683,0.98975,0.97396,0.66907,0.78526,0.52986,1.04817,0.63541,1.18801,0.0003515,0.0003515,0.0003515
26,69.8715,0.71616,0.4956,1.00304,0.86821,0.80834,0.82836,0.56463,1.07035,0.59223,1.23501,0.000345313,0.000345313,0.000345313
27,72.0101,0.71224,0.48055,0.99493,0.89977,0.73921,0.82083,0.58433,1.03831,0.63111,1.20326,0.000339125,0.000339125,0.000339125
28,74.1819,0.68587,0.45439,0.98247,0.91863,0.75043,0.80082,0.58685,1.04123,0.61034,1.19367,0.000332938,0.000332938,0.000332938
29,76.3201,0.66974,0.43101,0.9612,0.88752,0.74847,0.79606,0.57488,1.05496,0.62063,1.21277,0.00032675,0.00032675,0.00032675
30,78.488,0.68534,0.4419,0.97004,0.86959,0.78725,0.81619,0.57458,1.07264,0.61039,1.23793,0.000320562,0.000320562,0.000320562
31,80.6333,0.69621,0.43195,0.97318,0.87598,0.74078,0.80723,0.55712,1.03912,0.5814,1.21917,0.000314375,0.000314375,0.000314375
32,82.8388,0.69047,0.45429,0.97806,0.88154,0.78629,0.80234,0.56655,1.07914,0.60715,1.24256,0.000308188,0.000308188,0.000308188
33,84.9891,0.64994,0.39801,0.98677,0.90151,0.7765,0.82622,0.57196,1.07396,0.59092,1.22052,0.000302,0.000302,0.000302
34,87.2646,0.69636,0.43446,0.97254,0.93287,0.79738,0.8194,0.58676,1.04507,0.55955,1.18601,0.000295813,0.000295813,0.000295813
35,89.4147,0.70167,0.4443,0.99932,0.86051,0.81759,0.7922,0.56497,1.0523,0.5915,1.21064,0.000289625,0.000289625,0.000289625
