epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2821,2.38915,5.19711,2.3936,0.01047,0.01613,0.00296,0.00056,2.32391,5.31178,2.83516,6.5e-05,6.5e-05,0.087065
2,5.73891,2.26177,4.43102,2.25574,0.04255,0.05914,0.01117,0.00303,2.21145,4.47407,2.82088,0.000133329,0.000133329,0.0731333
3,8.47636,2.08935,3.8515,2.20368,0.12014,0.0914,0.08125,0.03114,2.12185,3.35315,2.76925,0.000199926,0.000199926,0.0591999
4,10.8465,1.9293,3.12297,2.03116,0.19324,0.19304,0.1783,0.06881,1.81384,2.91053,2.30362,0.000264791,0.000264791,0.0452648
5,13.1663,1.77033,2.64591,1.83643,0.7772,0.24731,0.26132,0.12511,1.45359,2.34166,1.79059,0.000327923,0.000327923,0.0313279
6,15.5724,1.5311,2.08654,1.59494,0.80766,0.33295,0.44486,0.27923,1.12551,1.90352,1.49992,0.000389322,0.000389322,0.0173893
7,17.8816,1.38835,1.82627,1.48598,0.56917,0.41792,0.48604,0.31769,1.02337,1.63146,1.40627,0.000448989,0.000448989,0.00344899
8,20.1744,1.17795,1.40815,1.35597,0.74005,0.43893,0.55508,0.37434,0.93545,1.31828,1.31605,0.000456687,0.000456687,0.000456687
9,22.4669,1.24835,1.39058,1.44028,0.73696,0.51102,0.59886,0.41533,0.89783,1.10305,1.26688,0.0004505,0.0004505,0.0004505
10,24.785,1.0514,1.02123,1.24284,0.85309,0.51631,0.63096,0.43856,0.85423,0.93759,1.22376,0.000444312,0.000444312,0.000444312
11,27.1313,1.01007,0.93462,1.24406,0.87288,0.53198,0.65159,0.45277,0.83684,0.8346,1.19424,0.000438125,0.000438125,0.000438125
12,29.43,0.9928,0.87306,1.19384,0.79547,0.56934,0.70464,0.48762,0.79087,0.7632,1.14455,0.000431938,0.000431938,0.000431938
13,31.8122,0.94073,0.76896,1.16287,0.88862,0.5594,0.71556,0.50214,0.76479,0.726,1.1267,0.00042575,0.00042575,0.00042575
14,34.1123,0.96609,0.80521,1.15782,0.80332,0.62591,0.7525,0.53768,0.77686,0.64312,1.14936,0.000419563,0.000419563,0.000419563
15,36.4362,0.98769,0.74099,1.11094,0.77801,0.75256,0.80229,0.56861,0.79009,0.6004,1.14374,0.000413375,0.000413375,0.000413375
16,38.7136,0.92304,0.69513,1.13683,0.83642,0.79159,0.82499,0.57659,0.78612,0.5662,1.13443,0.000407187,0.000407187,0.000407187
17,40.977,0.86559,0.63691,1.08618,0.84327,0.8211,0.83417,0.57427,0.76517,0.52171,1.117,0.000401,0.000401,0.000401
18,43.1934,0.92202,0.73965,1.12017,0.89721,0.78211,0.83935,0.58191,0.75398,0.49405,1.11171,0.000394813,0.000394813,0.000394813
19,45.4337,0.85887,0.61674,1.10539,0.87231,0.798,0.84942,0.58173,0.73998,0.47717,1.10783,0.000388625,0.000388625,0.000388625
20,47.6948,0.86431,0.61439,1.08973,0.92541,0.79245,0.84655,0.58142,0.75488,0.49115,1.10512,0.000382438,0.000382438,0.000382438
21,49.8968,0.91941,0.59497,1.0843,0.92832,0.78028,0.85624,0.57734,0.76567,0.47333,1.10361,0.00037625,0.00037625,0.00037625
22,52.1365,0.9052,0.66421,1.11461,0.92183,0.78725,0.84681,0.59359,0.76916,0.46811,1.11489,0.000370063,0.000370063,0.000370063
23,54.5329,0.81211,0.54259,1.0592,0.92824,0.7788,0.85328,0.60386,0.76406,0.45167,1.11335,0.000363875,0.000363875,0.000363875
24,56.8579,0.82028,0.58141,1.08476,0.90921,0.78348,0.86387,0.61023,0.75197,0.4494,1.10646,0.000357687,0.000357687,0.000357687
25,59.2072,0.8081,0.55649,1.10462,0.96689,0.74521,0.86498,0.6158,0.74974,0.44129,1.09473,0.0003515,0.0003515,0.0003515
26,61.5042,0.85631,0.55066,1.04014,0.94669,0.76615,0.86849,0.60934,0.75596,0.4313,1.0974,0.000345313,0.000345313,0.000345313
27,63.7021,0.84518,0.53881,1.05301,0.96451,0.74536,0.86808,0.61133,0.76509,0.42517,1.0983,0.000339125,0.000339125,0.000339125
28,65.9369,0.77843,0.51916,1.05101,0.92923,0.78352,0.85988,0.61392,0.76898,0.41225,1.10284,0.000332938,0.000332938,0.000332938
29,68.1213,0.84794,0.53411,1.12069,0.87535,0.83372,0.86115,0.61087,0.77932,0.40832,1.1078,0.00032675,0.00032675,0.00032675
30,70.4086,0.78037,0.484,1.03169,0.86918,0.82768,0.85955,0.61266,0.78896,0.40506,1.11819,0.000320562,0.000320562,0.000320562
31,72.65,0.78476,0.47708,1.01064,0.96899,0.75915,0.86421,0.61789,0.78198,0.40059,1.11077,0.000314375,0.000314375,0.000314375
32,75.1256,0.7763,0.50306,1.01633,0.87359,0.83909,0.86957,0.61496,0.77456,0.40138,1.1133,0.000308188,0.000308188,0.000308188
33,77.3129,0.78809,0.50881,1.02103,0.91883,0.79301,0.86817,0.61308,0.78321,0.40891,1.12986,0.000302,0.000302,0.000302
34,79.5851,0.71782,0.43421,0.99928,0.97649,0.74962,0.87088,0.60997,0.78514,0.39897,1.11333,0.000295813,0.000295813,0.000295813
35,81.8071,0.76598,0.45803,1.04496,0.92589,0.78769,0.87112,0.60447,0.78515,0.39811,1.11756,0.000289625,0.000289625,0.000289625
36,84.0504,0.91295,0.5066,1.16488,0.91018,0.83263,0.85662,0.61208,0.7791,0.38948,1.11084,0.000283437,0.000283437,0.000283437
37,86.2624,0.75959,0.48811,1.01695,0.92567,0.79485,0.8445,0.60916,0.77858,0.38159,1.10929,0.00027725,0.00027725,0.00027725
38,88.5373,0.7818,0.49535,1.01443,0.95751,0.78927,0.84706,0.59663,0.79218,0.39086,1.11955,0.000271062,0.000271062,0.000271062
39,90.8881,0.71907,0.66749,0.93416,0.97468,0.76894,0.85632,0.59574,0.79287,0.38392,1.12262,0.000264875,0.000264875,0.000264875
