epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.53182,2.00476,3.75545,2.01043,0.76186,0.3489,0.35363,0.20843,1.46196,2.08927,1.64186,6.5e-05,6.5e-05,0.087065
2,5.5803,1.23792,1.20054,1.24619,0.7787,0.25077,0.28162,0.19381,1.06854,1.93459,1.16039,0.000133329,0.000133329,0.0731333
3,8.11289,1.06338,0.97268,1.15944,0.5238,0.70853,0.58648,0.34276,1.05593,1.25824,1.18967,0.000199926,0.000199926,0.0591999
4,10.9197,1.05384,0.92534,1.1564,0.5808,0.67157,0.6401,0.42852,0.91031,0.96541,1.12538,0.000264791,0.000264791,0.0452648
5,13.5207,0.99329,0.773,1.1086,0.79476,0.56748,0.65611,0.45585,0.84603,1.00315,1.14446,0.000327923,0.000327923,0.0313279
6,16.1001,0.91696,0.74569,1.07425,0.85201,0.61011,0.67027,0.47402,0.99109,0.93846,1.31172,0.000389322,0.000389322,0.0173893
7,18.6465,0.94482,0.78226,1.0801,0.52453,0.52957,0.37212,0.28905,0.88324,4.39037,1.15563,0.000448989,0.000448989,0.00344899
8,21.1641,0.8834,0.66291,1.08675,0.8002,0.60416,0.66808,0.49358,0.94065,0.95007,1.22958,0.000456687,0.000456687,0.000456687
9,23.7384,0.95744,0.78217,1.17117,0.85391,0.60292,0.65231,0.46495,0.95163,0.9092,1.26872,0.0004505,0.0004505,0.0004505
10,26.2528,0.88211,0.60913,1.07389,0.89873,0.66743,0.69365,0.47661,0.90116,0.66583,1.24368,0.000444312,0.000444312,0.000444312
11,28.6721,0.83781,0.5888,1.06234,0.8828,0.67819,0.71434,0.51298,0.86324,0.59159,1.17614,0.000438125,0.000438125,0.000438125
12,31.2909,0.83043,0.60799,1.0452,0.90313,0.6586,0.72423,0.5424,0.84937,0.53262,1.1759,0.000431938,0.000431938,0.000431938
13,33.8471,0.80325,0.52807,1.02367,0.83297,0.70502,0.77809,0.55169,0.82107,0.62372,1.18644,0.00042575,0.00042575,0.00042575
14,36.4523,0.85603,0.5935,1.05582,0.87131,0.71045,0.76365,0.52744,0.84657,0.56287,1.13384,0.000419563,0.000419563,0.000419563
15,38.8627,0.86404,0.60399,1.01539,0.89056,0.7646,0.80778,0.54815,0.89282,0.52708,1.16852,0.000413375,0.000413375,0.000413375
16,41.3196,0.83693,0.5742,1.05077,0.92374,0.812,0.81693,0.56147,0.8606,0.52631,1.19824,0.000407187,0.000407187,0.000407187
17,44.0351,0.80562,0.55211,1.01954,0.9485,0.72497,0.80769,0.53588,0.85973,0.51984,1.18211,0.000401,0.000401,0.000401
18,46.4802,0.82589,0.63031,1.02677,0.85071,0.73541,0.76677,0.53283,0.83095,0.53323,1.15937,0.000394813,0.000394813,0.000394813
19,48.8811,0.78134,0.53731,1.03615,0.71508,0.80684,0.73051,0.53043,0.84307,0.62887,1.17222,0.000388625,0.000388625,0.000388625
20,51.354,0.79783,0.57197,1.02296,0.86327,0.72435,0.78134,0.54923,0.86114,0.51136,1.17816,0.000382438,0.000382438,0.000382438
21,53.7955,0.78613,0.52377,1.0051,0.934,0.71826,0.791,0.57856,0.81156,0.5325,1.14671,0.00037625,0.00037625,0.00037625
22,56.3925,0.84839,0.62349,1.04724,0.91741,0.72465,0.78651,0.55959,0.8005,0.49795,1.12258,0.000370063,0.000370063,0.000370063
23,58.803,0.75096,0.50254,1.00373,0.90172,0.76753,0.80195,0.56277,0.82746,0.48648,1.12328,0.000363875,0.000363875,0.000363875
24,61.3873,0.72368,0.50004,1.0031,0.92477,0.69767,0.76282,0.56845,0.78127,0.52673,1.10141,0.000357687,0.000357687,0.000357687
25,63.8545,0.76383,0.5494,1.08318,0.91899,0.68556,0.76777,0.57548,0.82013,0.5338,1.14435,0.0003515,0.0003515,0.0003515
26,66.3009,0.76563,0.5166,0.98062,0.90035,0.68011,0.79116,0.5739,0.86445,0.50039,1.16369,0.000345313,0.000345313,0.000345313
27,68.7384,0.76237,0.50738,1.0082,0.84591,0.7155,0.80692,0.54613,0.84654,0.4844,1.17515,0.000339125,0.000339125,0.000339125
28,71.2388,0.69887,0.47394,1.00634,0.93039,0.78562,0.85434,0.57227,0.83015,0.43558,1.15356,0.000332938,0.000332938,0.000332938
29,73.6704,0.75169,0.47565,1.02987,0.78227,0.85996,0.83521,0.57623,0.84459,0.42647,1.15389,0.00032675,0.00032675,0.00032675
30,76.1153,0.73619,0.45268,1.02571,0.83276,0.83043,0.8278,0.57915,0.82527,0.42821,1.16332,0.000320562,0.000320562,0.000320562
31,79.0001,0.71679,0.44799,0.96551,0.75584,0.798,0.819,0.5784,0.81237,0.44382,1.14144,0.000314375,0.000314375,0.000314375
32,81.5166,0.71627,0.45269,0.97019,0.83414,0.79144,0.82346,0.58002,0.83089,0.46531,1.16081,0.000308188,0.000308188,0.000308188
33,84.4194,0.68144,0.43485,0.96454,0.7742,0.83372,0.83295,0.60211,0.80955,0.43339,1.15779,0.000302,0.000302,0.000302
34,87.0989,0.6298,0.39615,0.95207,0.72398,0.80808,0.81303,0.57158,0.82669,0.42393,1.16686,0.000295813,0.000295813,0.000295813
35,89.7946,0.64817,0.42743,0.97948,0.85937,0.73862,0.79265,0.56188,0.8529,0.41539,1.22508,0.000289625,0.000289625,0.000289625
36,92.3222,0.79651,0.46006,1.06141,0.84298,0.8122,0.80447,0.57624,0.87747,0.42364,1.21771,0.000283437,0.000283437,0.000283437
37,94.8165,0.68179,0.4839,0.96251,0.78733,0.80338,0.80228,0.58694,0.82099,0.40214,1.16339,0.00027725,0.00027725,0.00027725
38,97.3169,0.69478,0.49565,0.96102,0.93499,0.69366,0.78627,0.5734,0.78957,0.40717,1.13111,0.000271062,0.000271062,0.000271062
39,99.9035,0.62766,0.7149,0.88411,0.81183,0.74345,0.77997,0.56628,0.82491,0.43463,1.17951,0.000264875,0.000264875,0.000264875
40,102.441,0.59618,0.39356,0.96031,0.83718,0.74042,0.78042,0.55434,0.80356,0.39876,1.14756,0.000258687,0.000258687,0.000258687
41,105.005,0.67946,0.45775,0.99065,0.9429,0.73041,0.80314,0.57029,0.80894,0.38713,1.14663,0.0002525,0.0002525,0.0002525
42,107.463,0.62045,0.39784,0.95446,0.89518,0.73359,0.79544,0.5733,0.81302,0.40555,1.16777,0.000246313,0.000246313,0.000246313
43,109.893,0.63079,0.40116,0.94048,0.89091,0.74992,0.81113,0.58248,0.8229,0.41326,1.15497,0.000240125,0.000240125,0.000240125
44,112.429,0.68011,0.4434,1.03143,0.8495,0.798,0.81511,0.58997,0.78864,0.39075,1.14674,0.000233938,0.000233938,0.000233938
45,114.896,0.62855,0.38684,0.93255,0.86547,0.74616,0.80035,0.57727,0.79803,0.39419,1.19094,0.00022775,0.00022775,0.00022775
46,117.557,0.60004,0.38825,0.95292,0.88492,0.74721,0.801,0.58488,0.79623,0.39026,1.17727,0.000221562,0.000221562,0.000221562
47,120.017,0.56773,0.36889,0.91638,0.87654,0.71582,0.79336,0.59189,0.78427,0.38425,1.1609,0.000215375,0.000215375,0.000215375
48,122.497,0.60919,0.39122,0.94583,0.92589,0.71467,0.81959,0.60114,0.79305,0.39719,1.14597,0.000209188,0.000209188,0.000209188
49,124.936,0.56161,0.37831,0.95025,0.92487,0.71539,0.8142,0.59877,0.81544,0.39493,1.16635,0.000203,0.000203,0.000203
50,127.396,0.6411,0.39923,0.95927,0.84725,0.798,0.82257,0.59254,0.82237,0.384,1.1862,0.000196812,0.000196812,0.000196812
51,129.832,0.54485,0.35045,0.93539,0.86769,0.798,0.82543,0.57877,0.81718,0.39205,1.17178,0.000190625,0.000190625,0.000190625
52,132.268,0.55071,0.34435,0.91668,0.86096,0.78725,0.82674,0.60286,0.81543,0.39174,1.16235,0.000184438,0.000184438,0.000184438
53,134.91,0.56541,0.38999,0.94363,0.92231,0.77786,0.81667,0.59259,0.80342,0.38929,1.14981,0.00017825,0.00017825,0.00017825
54,137.416,0.54436,0.34644,0.91882,0.87514,0.76337,0.80352,0.58886,0.80453,0.39759,1.17482,0.000172063,0.000172063,0.000172063
55,139.865,0.58619,0.37332,0.91387,0.89777,0.69647,0.80167,0.56144,0.79599,0.39115,1.15132,0.000165875,0.000165875,0.000165875
56,142.363,0.56762,0.34189,0.91244,0.92493,0.73591,0.80786,0.58468,0.81743,0.40397,1.17295,0.000159688,0.000159688,0.000159688
57,144.779,0.53276,0.33604,0.92305,0.9112,0.77242,0.81481,0.57532,0.83259,0.39017,1.212,0.0001535,0.0001535,0.0001535
58,147.267,0.57192,0.36326,0.9138,0.91192,0.74328,0.82328,0.56119,0.83198,0.38693,1.18483,0.000147312,0.000147312,0.000147312
59,149.699,0.50579,0.32519,0.88166,0.85436,0.78477,0.82001,0.55918,0.85208,0.40553,1.22538,0.000141125,0.000141125,0.000141125
60,152.23,0.49286,0.30507,0.88331,0.82534,0.77913,0.8169,0.56349,0.8297,0.39952,1.1842,0.000134937,0.000134937,0.000134937
61,154.642,0.52122,0.32319,0.90829,0.92076,0.73893,0.82682,0.58375,0.8321,0.39621,1.16518,0.00012875,0.00012875,0.00012875
62,157.113,0.5578,0.36236,0.91067,0.91408,0.7862,0.84173,0.57627,0.82322,0.39104,1.15996,0.000122563,0.000122563,0.000122563
63,159.544,0.49328,0.29668,0.89644,0.92198,0.78725,0.83896,0.56293,0.80623,0.37437,1.16778,0.000116375,0.000116375,0.000116375
64,162.072,0.52386,0.35591,0.89525,0.93068,0.76665,0.83721,0.57,0.81668,0.37042,1.17269,0.000110188,0.000110188,0.000110188
65,164.49,0.51622,0.32372,0.89304,0.89782,0.73376,0.79744,0.57915,0.82228,0.37223,1.17437,0.000104,0.000104,0.000104
66,166.939,0.48822,0.30827,0.9073,0.89416,0.74335,0.79622,0.58248,0.80886,0.37679,1.18292,9.78125e-05,9.78125e-05,9.78125e-05
67,169.478,0.49317,0.31484,0.90676,0.89396,0.75691,0.80051,0.58242,0.80651,0.3815,1.19193,9.1625e-05,9.1625e-05,9.1625e-05
68,171.951,0.48648,0.30839,0.899,0.93577,0.77936,0.84536,0.58571,0.79732,0.4001,1.1947,8.54375e-05,8.54375e-05,8.54375e-05
69,174.381,0.50433,0.35449,0.92985,0.93522,0.7791,0.85218,0.58623,0.80127,0.39743,1.18867,7.925e-05,7.925e-05,7.925e-05
70,176.842,0.48793,0.30196,0.88668,0.89108,0.81759,0.85549,0.58339,0.8094,0.37318,1.18489,7.30625e-05,7.30625e-05,7.30625e-05
71,180.323,0.39628,0.23968,0.84178,0.91854,0.81587,0.85641,0.58833,0.8105,0.38089,1.19705,6.6875e-05,6.6875e-05,6.6875e-05
72,182.878,0.44994,0.25955,0.85965,0.93457,0.80425,0.86023,0.58942,0.811,0.37394,1.20431,6.06875e-05,6.06875e-05,6.06875e-05
