epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75807,1.96731,3.90288,2.1676,0.70329,0.04301,0.04554,0.0165,2.51575,3.48739,2.90164,6.5e-05,6.5e-05,0.087065
2,5.86344,1.32257,1.4181,1.52104,0.09006,0.39747,0.28905,0.10567,1.97857,3.0656,2.07819,0.000133397,0.000133397,0.0731334
3,8.66633,1.20264,1.16174,1.38217,0.75425,0.31336,0.33036,0.17699,1.61472,1.65425,1.86748,0.000200131,0.000200131,0.0592001
4,11.338,1.17637,0.91915,1.28958,0.79803,0.53226,0.59956,0.34672,1.63588,1.97141,1.9815,0.000265203,0.000265203,0.0452652
5,13.9485,1.10977,0.89083,1.27257,0.51903,0.54762,0.50526,0.33077,1.31698,3.10653,1.56872,0.000328612,0.000328612,0.0313286
6,16.4406,1.18491,0.87771,1.30412,0.79567,0.56183,0.62033,0.38934,1.43257,1.16069,1.71677,0.000390359,0.000390359,0.0173904
7,19.0362,1.13711,0.80218,1.30894,0.64248,0.52957,0.56292,0.38506,1.16752,1.34755,1.43459,0.000450444,0.000450444,0.00345044
8,21.4822,1.08919,0.76007,1.29598,0.87648,0.5654,0.7361,0.44047,1.51313,0.91127,1.91556,0.000458438,0.000458438,0.000458438
9,24.0047,1.18959,0.86,1.27053,0.79804,0.78456,0.79,0.49951,1.26613,0.66294,1.5353,0.0004525,0.0004525,0.0004525
10,26.6521,1.10911,0.85252,1.28777,0.73541,0.62458,0.74408,0.4684,1.20216,1.02277,1.58096,0.000446562,0.000446562,0.000446562
11,29.1791,1.04291,0.80552,1.29938,0.85021,0.74136,0.8008,0.50171,1.12925,0.73708,1.40818,0.000440625,0.000440625,0.000440625
12,31.7975,1.11244,0.80214,1.21259,0.90624,0.73876,0.81131,0.48169,1.26198,0.72033,1.59151,0.000434688,0.000434688,0.000434688
13,34.2351,1.00943,0.79098,1.26861,0.86957,0.77833,0.77417,0.51881,1.06697,0.64706,1.35683,0.00042875,0.00042875,0.00042875
14,36.8519,1.02108,0.6865,1.21815,0.78576,0.72111,0.72749,0.49066,0.99283,0.78467,1.26378,0.000422813,0.000422813,0.000422813
15,39.2807,1.0863,0.80275,1.28924,0.77286,0.71882,0.77608,0.54009,0.99416,0.72987,1.26906,0.000416875,0.000416875,0.000416875
16,41.9181,1.06005,0.6821,1.21722,0.86614,0.71469,0.78586,0.53799,0.9388,0.65066,1.22275,0.000410938,0.000410938,0.000410938
17,44.36,1.0469,0.71596,1.18888,0.88946,0.71267,0.7533,0.53229,0.98749,0.61048,1.25036,0.000405,0.000405,0.000405
18,46.9381,0.96828,0.70282,1.16959,0.86834,0.81532,0.81567,0.56316,0.99209,0.57169,1.26143,0.000399063,0.000399063,0.000399063
19,49.5101,1.00784,0.62441,1.2074,0.88473,0.79263,0.80185,0.53635,1.00199,0.56272,1.28723,0.000393125,0.000393125,0.000393125
