epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.38644,1.96987,3.92248,1.99844,0.60476,0.38518,0.38909,0.21173,1.3967,4.65901,1.90153,0.00018577,0.00018577,0.00018577
2,6.79279,1.16293,1.50412,1.22446,0.10295,0.5119,0.08627,0.05588,0.93388,14.7283,1.25843,0.00038201,0.00038201,0.00038201
3,9.47457,1.09971,1.22675,1.20488,0.04701,0.46889,0.04671,0.03063,1.02896,16.3332,1.30553,0.000574289,0.000574289,0.000574289
4,12.1543,1.15875,1.40856,1.24094,0.60097,0.4565,0.45828,0.27743,1.19585,2.15358,1.55668,0.000762607,0.000762607,0.000762607
5,14.9715,1.04193,0.9899,1.16688,0.65538,0.19163,0.22689,0.16442,1.39296,4.24678,2.28458,0.000946964,0.000946964,0.000946964
6,17.5581,1.10719,0.98861,1.1965,0.001,0.08065,0.00017,4e-05,3.443,2960.71,24.4313,0.00112736,0.00112736,0.00112736
7,20.0958,1.175,1.09005,1.22618,0.0006,0.03226,4e-05,1e-05,5.46485,12668.7,46.792,0.00130379,0.00130379,0.00130379
8,22.7618,1.08211,1.04749,1.23745,0.00154,0.1179,7e-05,1e-05,5.16723,15893.1,38.925,0.00132997,0.00132997,0.00132997
9,25.363,1.16729,1.17107,1.30289,0.00847,0.18817,0.00491,0.0025,2.0943,117.332,3.41467,0.00131582,0.00131582,0.00131582
10,28.0692,1.01856,0.82262,1.18097,0.19036,0.30607,0.13496,0.04933,2.76942,4.47338,3.66029,0.00130168,0.00130168,0.00130168
11,30.5789,1.00968,0.81894,1.22151,0.24466,0.12879,0.12186,0.06212,2.61182,8.59567,2.71688,0.00128753,0.00128753,0.00128753
12,33.2065,1.00879,0.79978,1.16535,0.51459,0.34025,0.36694,0.21281,1.63254,2.10887,1.98769,0.00127338,0.00127338,0.00127338
13,35.6867,0.98118,0.75983,1.15592,0.89463,0.60786,0.67188,0.42079,1.0117,1.13879,1.35529,0.00125923,0.00125923,0.00125923
14,38.3372,1.02108,0.85045,1.17124,0.55828,0.54954,0.49704,0.33402,1.05322,1.25779,1.37484,0.00124509,0.00124509,0.00124509
15,40.8371,0.99357,0.7673,1.09475,0.75715,0.57556,0.6434,0.45739,1.09688,1.09487,1.4191,0.00123094,0.00123094,0.00123094
16,43.4929,1.00342,0.79046,1.15999,0.92164,0.66743,0.79489,0.58033,0.9111,0.7069,1.30072,0.00121679,0.00121679,0.00121679
17,46.2545,0.94983,0.7024,1.11594,0.97197,0.61011,0.71043,0.5232,0.90984,0.69271,1.21113,0.00120265,0.00120265,0.00120265
18,48.7699,0.99432,0.77192,1.13861,0.81478,0.52504,0.64126,0.45193,0.91158,1.53957,1.2327,0.0011885,0.0011885,0.0011885
19,51.2517,0.96745,0.69562,1.14582,0.85127,0.70988,0.75436,0.52496,0.89589,0.6924,1.18621,0.00117435,0.00117435,0.00117435
20,53.805,0.93218,0.72666,1.1204,0.87079,0.64347,0.70201,0.48037,0.99246,0.78121,1.38107,0.00116021,0.00116021,0.00116021
21,56.3142,0.9223,0.6802,1.09441,0.8246,0.64062,0.71332,0.498,0.90017,0.62367,1.21775,0.00114606,0.00114606,0.00114606
22,58.8277,0.95776,0.78738,1.14252,0.91049,0.634,0.71339,0.50011,0.91494,0.63379,1.2126,0.00113191,0.00113191,0.00113191
23,61.3622,0.86992,0.65857,1.09588,0.87028,0.66786,0.70413,0.48947,0.90286,0.62536,1.24184,0.00111776,0.00111776,0.00111776
24,63.8822,0.86677,0.64509,1.11787,0.92361,0.65222,0.70739,0.52869,0.83189,0.63768,1.15394,0.00110362,0.00110362,0.00110362
25,66.4503,0.91627,0.64599,1.18286,0.90415,0.66173,0.75543,0.52358,0.8536,0.5347,1.16745,0.00108947,0.00108947,0.00108947
26,68.9704,0.87954,0.61181,1.05323,0.83207,0.73885,0.76882,0.51271,0.89535,0.54407,1.18746,0.00107532,0.00107532,0.00107532
27,71.4673,0.87973,0.61465,1.0778,0.84511,0.69088,0.7201,0.51802,0.93246,0.63546,1.20131,0.00106118,0.00106118,0.00106118
28,73.996,0.81736,0.62571,1.07736,0.93954,0.64133,0.733,0.51147,0.90399,0.68787,1.21622,0.00104703,0.00104703,0.00104703
29,76.457,0.86309,0.61168,1.09276,0.89914,0.73239,0.79307,0.53069,0.87425,0.62814,1.22808,0.00103288,0.00103288,0.00103288
30,78.9521,0.83281,0.55302,1.06782,0.93239,0.71666,0.78991,0.52587,0.86699,0.54429,1.21415,0.00101873,0.00101873,0.00101873
31,81.4327,0.8534,0.59068,1.04424,0.90841,0.73541,0.80328,0.55436,0.87499,0.55381,1.22324,0.00100459,0.00100459,0.00100459
32,84.108,0.82041,0.57542,1.03154,0.882,0.73293,0.79065,0.54972,0.85606,0.53631,1.20924,0.00099044,0.00099044,0.00099044
33,86.5806,0.81091,0.5627,1.04359,0.88313,0.69432,0.78609,0.57649,0.80498,0.51965,1.1609,0.000976293,0.000976293,0.000976293
34,89.0758,0.76912,0.52335,1.03464,0.88819,0.69392,0.77652,0.56284,0.82233,0.51269,1.16717,0.000962146,0.000962146,0.000962146
35,91.5637,0.75314,0.52553,1.04614,0.84517,0.82683,0.8611,0.58718,0.86033,0.52876,1.21559,0.000947999,0.000947999,0.000947999
36,94.1923,0.94338,0.64344,1.17522,0.83508,0.71045,0.75265,0.51954,0.89786,0.51453,1.27386,0.000933851,0.000933851,0.000933851
37,96.652,0.80176,0.55896,1.04364,0.90382,0.66995,0.73373,0.51387,0.90474,0.56014,1.30293,0.000919704,0.000919704,0.000919704
38,99.1498,0.81856,0.59328,1.04525,0.92516,0.68925,0.77071,0.55296,0.90123,0.52998,1.29131,0.000905557,0.000905557,0.000905557
39,101.618,0.73981,0.62243,0.94942,0.78253,0.69334,0.71836,0.51354,0.91501,0.5643,1.30712,0.00089141,0.00089141,0.00089141
40,104.227,0.70083,0.51115,1.03429,0.93244,0.63209,0.7194,0.51973,0.82642,0.50679,1.17478,0.000877263,0.000877263,0.000877263
41,106.707,0.78739,0.55474,1.0802,0.82048,0.66206,0.72045,0.50331,0.89891,0.53854,1.19769,0.000863116,0.000863116,0.000863116
42,109.216,0.77632,0.50376,1.03118,0.91164,0.67819,0.73746,0.52823,0.86445,0.49508,1.19308,0.000848969,0.000848969,0.000848969
43,111.712,0.75874,0.48951,1.00198,0.89409,0.70345,0.72436,0.51298,0.84574,0.51422,1.16562,0.000834822,0.000834822,0.000834822
44,114.216,0.76599,0.56215,1.08618,0.78241,0.73713,0.72639,0.51348,0.81247,0.48245,1.16394,0.000820675,0.000820675,0.000820675
45,116.687,0.76567,0.5117,1.0144,0.92012,0.73003,0.7798,0.55772,0.86834,0.47936,1.18933,0.000806528,0.000806528,0.000806528
46,119.217,0.72853,0.50237,1.02275,0.86798,0.68038,0.74635,0.53381,0.83205,0.50831,1.18455,0.00079238,0.00079238,0.00079238
47,121.687,0.68047,0.46928,0.97685,0.89196,0.70507,0.77314,0.56743,0.82634,0.49809,1.16836,0.000778233,0.000778233,0.000778233
48,124.306,0.73301,0.51365,1.0067,0.81346,0.78725,0.81511,0.5667,0.82645,0.4751,1.16535,0.000764086,0.000764086,0.000764086
49,126.761,0.68754,0.48899,1.01493,0.87407,0.71472,0.78351,0.53908,0.83137,0.4627,1.18253,0.000749939,0.000749939,0.000749939
50,129.276,0.749,0.47528,1.07659,0.86676,0.73826,0.7813,0.54937,0.83894,0.43164,1.19264,0.000735792,0.000735792,0.000735792
51,131.726,0.65288,0.44005,0.99722,0.89685,0.73541,0.78281,0.56978,0.85964,0.44729,1.18554,0.000721645,0.000721645,0.000721645
52,134.237,0.66187,0.43211,0.97471,0.8969,0.73889,0.79428,0.59039,0.83632,0.44244,1.15913,0.000707498,0.000707498,0.000707498
53,136.872,0.75853,0.46958,1.06774,0.94308,0.73181,0.78434,0.57158,0.84516,0.45375,1.19153,0.000693351,0.000693351,0.000693351
54,139.367,0.68152,0.43478,0.98445,0.91771,0.68894,0.74025,0.54736,0.89705,0.48761,1.1961,0.000679204,0.000679204,0.000679204
55,141.946,0.69233,0.4448,0.97665,0.92784,0.67281,0.76084,0.54567,0.81898,0.47286,1.1645,0.000665057,0.000665057,0.000665057
56,144.446,0.676,0.43093,0.96708,0.94245,0.66933,0.75508,0.56129,0.80086,0.43754,1.16971,0.000650909,0.000650909,0.000650909
57,146.931,0.65651,0.43134,0.99152,0.92836,0.67819,0.76157,0.55616,0.83759,0.44146,1.19159,0.000636762,0.000636762,0.000636762
58,149.448,0.71659,0.46427,0.97399,0.93894,0.68894,0.7876,0.55994,0.84058,0.44428,1.19675,0.000622615,0.000622615,0.000622615
59,151.93,0.64674,0.41048,0.94693,0.93092,0.73291,0.79397,0.56181,0.83167,0.42805,1.20742,0.000608468,0.000608468,0.000608468
60,154.448,0.61623,0.3956,0.93617,0.9252,0.68356,0.83867,0.59238,0.80613,0.41567,1.18042,0.000594321,0.000594321,0.000594321
61,157.123,0.64728,0.40903,0.9746,0.83737,0.74616,0.84104,0.60254,0.81506,0.41327,1.16991,0.000580174,0.000580174,0.000580174
62,159.792,0.66322,0.45426,0.9752,0.92094,0.68356,0.79509,0.5531,0.85757,0.43972,1.2068,0.000566027,0.000566027,0.000566027
63,162.367,0.61566,0.38826,0.9565,0.85889,0.73541,0.7703,0.54869,0.82307,0.46037,1.14473,0.00055188,0.00055188,0.00055188
64,164.874,0.6501,0.44407,0.94653,0.91209,0.68416,0.76854,0.54061,0.86825,0.46017,1.17647,0.000537733,0.000537733,0.000537733
65,167.38,0.63866,0.41417,0.94881,0.91698,0.69714,0.80904,0.57867,0.83205,0.43551,1.17994,0.000523586,0.000523586,0.000523586
66,169.927,0.59842,0.38394,0.96425,0.91912,0.69076,0.80714,0.56152,0.83558,0.41913,1.19012,0.000509438,0.000509438,0.000509438
67,172.445,0.59066,0.42026,0.9533,0.82901,0.80807,0.83661,0.5691,0.82655,0.42049,1.21548,0.000495291,0.000495291,0.000495291
68,174.967,0.61071,0.41979,0.96181,0.81009,0.82834,0.83591,0.5713,0.81594,0.42115,1.19409,0.000481144,0.000481144,0.000481144
69,177.44,0.61334,0.40985,0.97959,0.92985,0.67683,0.80814,0.54993,0.83418,0.41715,1.22105,0.000466997,0.000466997,0.000466997
