epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.90051,1.98112,3.8669,1.92266,0.00534,0.29339,0.12549,0.07338,1.18668,3.87139,1.23568,0.00018577,0.00018577,0.00018577
2,5.55338,1.34736,2.2564,1.24696,0.00602,0.34178,0.2564,0.19221,0.96759,3.46835,1.03425,0.00038201,0.00038201,0.00038201
3,7.23458,1.22481,1.83748,1.17746,1,0.17731,0.311,0.24213,0.90903,3.08358,1.00325,0.000574289,0.000574289,0.000574289
4,9.17831,1.1735,1.78625,1.13802,0.86684,0.25216,0.33289,0.23987,1.04832,2.52316,1.10814,0.000762607,0.000762607,0.000762607
5,10.8467,1.13519,1.44804,1.10556,0.79953,0.33073,0.44805,0.29087,1.38014,2.18996,1.34177,0.000946964,0.000946964,0.000946964
6,12.4826,1.10543,1.38883,1.0721,0.72653,0.33396,0.39761,0.27678,1.11121,2.13195,1.09707,0.00112736,0.00112736,0.00112736
7,13.9887,1.14525,1.39176,1.11722,0.68711,0.3256,0.39566,0.29438,1.13064,2.10957,1.16912,0.00130379,0.00130379,0.00130379
8,15.4726,1.07525,1.31542,1.10196,0.79613,0.36332,0.52178,0.37822,0.92579,1.65688,1.03621,0.00132997,0.00132997,0.00132997
9,17.0539,1.12336,1.45261,1.08764,0.76031,0.45469,0.51991,0.33993,1.06941,1.53878,1.09895,0.00131582,0.00131582,0.00131582
10,18.6747,1.05819,1.17393,1.07683,0.66599,0.5672,0.61068,0.41506,1.01156,1.47004,1.02506,0.00130168,0.00130168,0.00130168
11,20.2132,1.01758,1.16833,1.06116,0.91859,0.56288,0.6453,0.4364,1.02247,1.38891,1.04784,0.00128753,0.00128753,0.00128753
12,21.7153,1.01534,1.14679,1.06587,0.74341,0.64785,0.65172,0.42952,1.01655,1.38188,1.04047,0.00127338,0.00127338,0.00127338
13,23.1403,1.02405,1.03249,1.06144,0.66716,0.63712,0.69049,0.46548,0.99337,1.43884,1.02622,0.00125923,0.00125923,0.00125923
14,24.6583,1.07313,1.08501,1.07185,0.78839,0.68894,0.74409,0.47613,0.94277,1.25373,1.03931,0.00124509,0.00124509,0.00124509
15,26.1583,1.05186,1.02259,1.0259,0.80797,0.69799,0.72685,0.49452,0.94293,1.13302,1.02947,0.00123094,0.00123094,0.00123094
16,27.7738,0.99422,0.94999,1.03554,0.91296,0.68164,0.76156,0.54199,0.91006,0.969,1.01048,0.00121679,0.00121679,0.00121679
