epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97459,2.11706,4.00112,2.11098,0.5658,0.41265,0.41297,0.2537,1.18484,4.45385,1.32327,0.00018577,0.00018577,0.00018577
2,5.855,1.2962,1.72085,1.27209,0.36981,0.36559,0.43748,0.22959,1.31509,2.97002,1.53617,0.00038201,0.00038201,0.00038201
3,7.76921,1.13871,1.52392,1.18611,0.63508,0.44777,0.49411,0.31794,0.98175,1.66657,1.14899,0.000574289,0.000574289,0.000574289
4,10.7963,1.15815,1.35489,1.27128,0.79452,0.56759,0.61544,0.39102,1.03669,1.95425,1.37973,0.000762607,0.000762607,0.000762607
5,13.8039,1.10382,1.0498,1.19547,0.7206,0.62507,0.65647,0.42257,1.19609,1.41253,1.49253,0.000946964,0.000946964,0.000946964
6,16.8233,1.07094,0.97499,1.14952,0.85772,0.61214,0.70171,0.42143,1.08144,1.39768,1.35553,0.00112736,0.00112736,0.00112736
7,19.6572,1.08759,0.98255,1.17755,0.86629,0.68548,0.7679,0.51273,1.02664,0.92769,1.3606,0.00130379,0.00130379,0.00130379
8,22.5417,1.02644,0.96642,1.17897,0.71496,0.65695,0.68027,0.47627,0.96427,1.12209,1.32056,0.00132997,0.00132997,0.00132997
9,25.269,1.11142,0.97516,1.24473,0.80396,0.58525,0.71023,0.48876,0.96457,1.12053,1.31135,0.00131582,0.00131582,0.00131582
10,28.1086,1.02176,0.81208,1.16171,0.80918,0.52551,0.58481,0.39325,1.0933,1.03043,1.36577,0.00130168,0.00130168,0.00130168
11,31.2689,0.99002,0.81705,1.15999,0.84805,0.62566,0.70425,0.48677,0.9572,0.80051,1.21978,0.00128753,0.00128753,0.00128753
12,33.881,1.05415,0.80595,1.19764,0.75325,0.53208,0.62603,0.44404,0.94785,1.21167,1.24916,0.00127338,0.00127338,0.00127338
13,35.6371,1.01918,0.73,1.15435,0.84354,0.64066,0.72549,0.48557,0.9772,0.88096,1.2596,0.00125923,0.00125923,0.00125923
14,37.3716,1.04459,0.79919,1.15287,0.68002,0.56029,0.55805,0.37119,1.02977,0.9035,1.31024,0.00124509,0.00124509,0.00124509
15,39.1791,0.98238,0.71768,1.0889,0.77675,0.51795,0.57425,0.36533,1.19407,1.03802,1.43622,0.00123094,0.00123094,0.00123094
16,41.0259,0.96308,0.70035,1.11564,0.83634,0.76409,0.77769,0.53731,0.93122,0.66138,1.2351,0.00121679,0.00121679,0.00121679
17,42.9124,0.92386,0.66845,1.08791,0.81488,0.66316,0.73894,0.52992,0.95524,0.63415,1.19513,0.00120265,0.00120265,0.00120265
18,45.0253,0.95406,0.74093,1.09549,0.80674,0.63899,0.72844,0.50768,1.01471,0.72153,1.25733,0.0011885,0.0011885,0.0011885
19,46.7713,0.92866,0.68289,1.10927,0.82719,0.62719,0.71162,0.49029,0.9391,0.63368,1.16394,0.00117435,0.00117435,0.00117435
20,48.5942,0.91591,0.71176,1.07913,0.86301,0.65727,0.70574,0.48434,0.97909,0.66034,1.25721,0.00116021,0.00116021,0.00116021
21,50.3565,0.92276,0.68929,1.07743,0.84331,0.696,0.73698,0.52832,0.92053,0.55922,1.22266,0.00114606,0.00114606,0.00114606
22,52.179,0.9784,0.75458,1.13629,0.87954,0.75691,0.78377,0.52927,0.90394,0.56824,1.17354,0.00113191,0.00113191,0.00113191
23,53.9455,0.87909,0.6785,1.08014,0.95728,0.66291,0.77026,0.51829,1.0294,0.54879,1.34052,0.00111776,0.00111776,0.00111776
24,55.7209,0.84934,0.61688,1.07792,0.86612,0.71547,0.74903,0.53225,0.91418,0.62785,1.23746,0.00110362,0.00110362,0.00110362
25,57.4837,0.91899,0.66012,1.17171,0.76766,0.72657,0.735,0.53598,0.90004,0.61761,1.21046,0.00108947,0.00108947,0.00108947
26,59.3594,0.90281,0.62322,1.04176,0.83867,0.7263,0.73098,0.50491,0.9275,0.5918,1.24734,0.00107532,0.00107532,0.00107532
27,61.1348,0.89637,0.61275,1.05953,0.95647,0.69969,0.74474,0.5394,0.90044,0.52953,1.20861,0.00106118,0.00106118,0.00106118
28,63.0103,0.83408,0.60539,1.0666,0.83939,0.72153,0.80595,0.53257,0.9162,0.52115,1.20735,0.00104703,0.00104703,0.00104703
29,64.7937,0.85677,0.60388,1.06717,0.97951,0.69622,0.82277,0.54317,0.8875,0.51074,1.19068,0.00103288,0.00103288,0.00103288
30,66.776,0.82181,0.55671,1.03339,0.95296,0.76229,0.83497,0.57679,0.8753,0.54926,1.16469,0.00101873,0.00101873,0.00101873
31,68.5615,0.83774,0.56635,1.01466,0.89721,0.69928,0.75985,0.5378,0.89535,0.59115,1.20417,0.00100459,0.00100459,0.00100459
32,70.4031,0.83805,0.56094,1.02288,0.96497,0.68882,0.7596,0.53144,0.89002,0.57565,1.21416,0.00099044,0.00099044,0.00099044
33,72.2614,0.79786,0.54102,1.01717,0.87339,0.69969,0.75914,0.5499,0.8953,0.52725,1.24626,0.000976293,0.000976293,0.000976293
34,74.1011,0.76183,0.49676,1.01477,0.97072,0.67819,0.75462,0.54917,0.84992,0.52274,1.20169,0.000962146,0.000962146,0.000962146
35,75.8568,0.7883,0.53123,1.04051,0.97673,0.69535,0.77021,0.53964,0.90351,0.51078,1.19783,0.000947999,0.000947999,0.000947999
36,77.6829,0.90342,0.67595,1.15126,0.9217,0.70029,0.7847,0.52729,0.91651,0.5068,1.23445,0.000933851,0.000933851,0.000933851
37,79.3583,0.78069,0.55486,1.03416,0.93425,0.69292,0.78118,0.56462,0.88118,0.52666,1.17983,0.000919704,0.000919704,0.000919704
38,81.0239,0.81891,0.55446,1.0193,0.91982,0.74356,0.7887,0.52787,0.87295,0.47367,1.16876,0.000905557,0.000905557,0.000905557
39,82.7827,0.75535,0.74779,0.94039,0.90377,0.74078,0.77296,0.55702,0.91159,0.48778,1.24279,0.00089141,0.00089141,0.00089141
40,84.519,0.73309,0.5051,1.03085,0.90908,0.73541,0.79194,0.56308,0.86564,0.47401,1.16631,0.000877263,0.000877263,0.000877263
41,86.1403,0.78745,0.53508,1.06015,0.90687,0.73352,0.80435,0.57978,0.87701,0.47758,1.16066,0.000863116,0.000863116,0.000863116
42,87.9734,0.73196,0.51116,1.0036,0.87849,0.77815,0.80134,0.56893,0.83506,0.46466,1.18083,0.000848969,0.000848969,0.000848969
43,89.5964,0.74249,0.48051,0.98576,0.94289,0.74616,0.78446,0.56617,0.80872,0.43395,1.13271,0.000834822,0.000834822,0.000834822
44,91.2577,0.74504,0.52746,1.05761,0.90154,0.73513,0.78034,0.56603,0.79902,0.46593,1.12198,0.000820675,0.000820675,0.000820675
45,92.8856,0.77056,0.49587,0.99432,0.90663,0.69093,0.78271,0.58363,0.82435,0.4667,1.1371,0.000806528,0.000806528,0.000806528
46,94.5962,0.73838,0.47948,1.00301,0.93281,0.73779,0.80963,0.57221,0.81087,0.43926,1.10934,0.00079238,0.00079238,0.00079238
47,96.2222,0.69737,0.45043,0.96789,0.93,0.69317,0.79625,0.5687,0.83825,0.46431,1.16881,0.000778233,0.000778233,0.000778233
48,97.9057,0.76167,0.5119,1.01228,0.9302,0.71329,0.7984,0.55719,0.85343,0.47306,1.15848,0.000764086,0.000764086,0.000764086
49,99.6274,0.72306,0.47763,1.02956,0.88985,0.65845,0.76954,0.55438,0.82019,0.4432,1.13134,0.000749939,0.000749939,0.000749939
